name,description,misc,misc_description,monster_name
amphibious,"The aboleth can breathe air and water.","","",Aboleth
mucous_cloud,"While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.","","",Aboleth
probing_telepathy,"If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.","","",Aboleth
spellcasting,"The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared: Cantrips (at will): **_light, sacred flame, thaumaturgy_** 1st level (3 slots): **_bless, cure wounds, sanctuary_**","","",Acolyte
amphibious,"The dragon can breathe air and water.","","","Adult Black Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Black Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Blue Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Brass Dragon"
amphibious,"The dragon can breathe air and water.","","","Adult Bronze Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Bronze Dragon"
legendary_resistance,") If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Copper Dragon"
amphibious,"The dragon can breathe air and water.","","","Adult Gold Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Gold Dragon"
amphibious,"The dragon can breathe air and water.","","","Adult Green Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Green Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Red Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult Silver Dragon"
ice_walk,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment.","","","Adult White Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Adult White Dragon"
air_form,"The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.","","","Air Elemental"
amphibious,"The dragon can breathe air and water.","","","Ancient Black Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Black Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Blue Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Brass Dragon"
amphibious,"The dragon can breathe air and water.","","","Ancient Bronze Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Bronze Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Copper Dragon"
amphibious,"The dragon can breathe air and water.","","","Ancient Gold Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Gold Dragon"
amphibious,"The dragon can breathe air and water.","","","Ancient Green Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Green Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Red Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient Silver Dragon"
ice_walk,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment.","","","Ancient White Dragon"
legendary_resistance,"If the dragon fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),"Ancient White Dragon"
inscrutable,"The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage.","","",Androsphinx
magic_weapons,"The sphinx's weapon attacks are magical.","","",Androsphinx
spellcasting,"The sphinx is a 12th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 18, +10 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared: Cantrips (at will): **_sacred flame, spare the dying, thaumaturgy_** 1st level (4 slots): **_command, detect evil and good, detect magic_** 2nd level (3 slots): **_lesser restoration, zone of truth_** 3rd level (3 slots): **_dispel magic, tongues_** 4th level (3 slots): **_banishment, freedom of movement_** 5th level (2 slots): **_flame strike, greater restoration_** 6th level (1 slot): **_heroes' feast_**","","",Androsphinx
antimagic_susceptibility,"The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute.","","","Animated Armor"
false_appearance,"While the armor remains motionless, it is indistinguishable from a normal suit of armor.","","","Animated Armor"
damage_resistance,"damage from spells; nonmagical bludgeoning, piercing, and slashing (from stoneskin)","","",Archmage
magic_resistance,"The archmage has advantage on saving throws against spells and other magical effects.","","",Archmage
spellcasting,"The archmage is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The archmage can cast **_disguise self_** and **_invisibility_** at will and has the following wizard spells prepared: Cantrips (at will): **_fire bolt, light, mage hand, prestidigitation, shocking grasp_** 1st level (4 slots): **_detect magic, identify, mage armor, magic missile_** 2nd level (3 slots): **_detect thoughts, mirror image, misty step_** 3rd level (3 slots): **_counterspell, fly, lightning bolt_** 4th level (3 slots): **_banishment, fire shield, stoneskin_** 5th level (3 slots): **_cone of cold, scrying, wall of force_** 6th level (1 slot): **_globe of invulnerability_** 7th level (1 slot): **_teleport_** 8th level (1 slot): **_mind blank_** 9th level (1 slot): **_time stop_** (The archmage casts **_mind blank, stoneskin and magic armor_** spells on itself before combat)","","",Archmage
assassinate,"During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit.","","",Assassin
evasion,"If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.","","",Assassin
sneak_attack,"Once per turn, the assassin deals an extra 14 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.","","",Assassin
